              1      -0.384069      -0.384069              0
              2      -0.379406      -0.381737     0.00164861
              3      -0.424676       -0.39605       0.011738
              4      -0.435894      -0.406011      0.0123255
              5      -0.417075      -0.408224      0.0100571
              6      -0.405873      -0.407832     0.00838853
              7      -0.390874      -0.405409     0.00753187
              8      -0.338819      -0.397086      0.0102009
              9      -0.371761      -0.394272     0.00944757
             10      -0.419348      -0.396779     0.00882932
             11      -0.380037      -0.395257     0.00815678
             12      -0.369404      -0.393103     0.00775636
             13      -0.408527      -0.394289      0.0072499
             14      -0.396056      -0.394416     0.00673315
             15      -0.372923      -0.392983     0.00643493
             16      -0.371318      -0.391629     0.00617355
             17      -0.391958      -0.391648     0.00581043
             18      -0.371671      -0.390538     0.00559262
             19      -0.387978      -0.390404      0.0052999
             20      -0.393122      -0.390539     0.00503664
             21      -0.442423       -0.39301     0.00536869
             22      -0.392001      -0.392964     0.00512486
             23       -0.44125      -0.395064     0.00531467
             24      -0.352175      -0.393277     0.00538529
             25      -0.356405      -0.391802     0.00536804
             26      -0.362429      -0.390672     0.00527912
             27      -0.432159      -0.392209      0.0053025
             28      -0.413539       -0.39297     0.00516755
             29      -0.403575      -0.393336     0.00500228
             30      -0.373159      -0.392663     0.00488054
             31      -0.422303       -0.39362     0.00481585
             32      -0.418903       -0.39441     0.00472972
             33      -0.428608      -0.395446     0.00469856
             34      -0.470206      -0.397645     0.00504872
             35      -0.411609      -0.398044     0.00492021
             36      -0.481108      -0.400351       0.005297
             37      -0.415177      -0.400752     0.00516897
             38      -0.367022      -0.399864     0.00510859
             39      -0.376554      -0.399266     0.00501244
             40       -0.41163      -0.399576     0.00489665
             41      -0.404647      -0.399699     0.00477878
             42      -0.403073       -0.39978     0.00466568
             43      -0.408885      -0.399991     0.00456198
             44      -0.385502      -0.399662     0.00447016
             45      -0.413737      -0.399975     0.00438176
             46      -0.408959       -0.40017     0.00429085
             47      -0.422985      -0.400656     0.00422692
             48        -0.4647       -0.40199     0.00434434
             49      -0.432401       -0.40261     0.00429979
             50      -0.431187      -0.403182     0.00425161
